specObjID mjd_spec plate fiberID z M_i FIRSTmag scienceprimary
108590272832602000 51783 385 121 0 25 0 1
108590273101038000 51783 385 185 0 25 13101 1
108590273986036000 51783 385 396 0 25 0 1
108590273998619000 51783 385 399 0 25 0 1
108590274644541000 51783 385 553 0 25 0 1
109716224157417000 51795 389 92 0 25 0 1
108590676844741000 51877 385 189 0 25 0 1
108590677360640000 51877 385 312 0 25 0 1
108590678367273000 51877 385 552 0 25 0 1
108871768885690000 51788 386 26 0 25 0 1
108871769552585000 51788 386 185 0 25 0 1
108871769753911000 51788 386 233 0 25 0 1
108871769955238000 51788 386 281 0 25 0 1
109997790456709000 51816 390 361 0 25 0 1
108871770211090000 51788 386 342 0 25 0 1
108871771460993000 51788 386 640 0 25 0 1
109153257208676000 51791 387 136 0 25 0 1
109153257342894000 51791 387 168 0 25 0 1
109153257439363000 51791 387 191 0 25 15302 1
108027472703914000 51818 383 2 0 25 14428 1
109153258068509000 51791 387 341 0 25 0 1
109153258169172000 51791 387 365 0 25 0 1
109153258534076000 51791 387 452 0 25 15229 1
109153258794123000 51791 387 514 0 25 0 1
109434740238451000 51793 388 8 0 25 0 1
109434741647737000 51793 388 344 0 25 0 1
109434741865841000 51793 388 396 0 25 13414 1
109434742130082000 51793 388 459 0 25 11032 1
109716224056754000 51795 389 68 0 25 0 1
109716224153223000 51795 389 91 0 25 0 1
109716224421659000 51795 389 155 0 25 0 1
109716226162295000 51795 389 570 0 25 0 1
111123672340627000 51812 394 160 0 25 0 1
109997789273915000 51816 390 79 0 25 0 1
111123672529371000 51812 394 205 0 25 0 1
111123672558731000 51812 394 212 0 25 0 1
109997789512991000 51816 390 136 0 25 0 1
111123672852333000 51812 394 282 0 25 0 1
109997789663986000 51816 390 172 0 25 0 1
109997790288937000 51816 390 321 0 25 0 1
109997790423155000 51816 390 353 0 25 0 1
109997791136186000 51816 390 523 0 25 0 1
109998150051168000 51900 390 79 0 25 0 1
111123947415667000 51876 394 207 0 25 0 1
109998150298632000 51900 390 138 0 25 0 1
109998151066190000 51900 390 321 0 25 0 1
109998151254934000 51900 390 366 0 25 0 1
109998151594672000 51900 390 447 0 25 0 1
109153257988817000 51791 387 322 0 25 0 1
110279120574743000 51782 391 640 0 25 0 1
110560642431189000 51793 392 553 0 25 14358 1
110842119454720000 51794 393 17 0 25 0 1
110842119739933000 51794 393 85 0 25 0 1
110842120687845000 51794 393 311 0 25 0 1
110842121409266000 51794 393 483 0 25 0 1
110842121530900000 51794 393 512 0 25 0 1
110842121988080000 51794 393 621 0 25 0 1
111968019952959000 51794 397 158 0 25 0 1
111123671799562000 51812 394 31 0 25 0 1
111123672026055000 51812 394 85 0 25 0 1
111123672336433000 51812 394 159 0 25 0 1
112531068443165000 51817 399 99 0 25 0 1
111123672520983000 51812 394 203 0 25 0 1
111123672793612000 51812 394 268 0 25 0 1
111123674131595000 51812 394 587 0 25 0 1
111123946887184000 51876 394 81 0 25 0 1
